A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
300254,仟源医药,山西仟源医药集团股份有限公司,C 制造业,2011-08-19,,山西,大同市,www.cy-pharm.com,山西省大同市经济技术开发区湖滨大街53号
300255,常山药业,河北常山生化药业股份有限公司,C 制造业,2011-08-19,,河北,石家庄市,www.heparin.cn,河北省石家庄市正定镇火车站西富强路9号
300256,星星科技,浙江星星科技股份有限公司,C 制造业,2011-08-19,,浙江,台州市,www.first-panel.com,浙江省台州市椒江区洪家星星电子产业基地4号楼
300257,开山股份,浙江开山压缩机股份有限公司,C 制造业,2011-08-19,,浙江,衢州市,www.kaishancomp.com.cn,浙江省衢州市经济开发区凯旋西路9号
300258,精锻科技,江苏太平洋精锻科技股份有限公司,C 制造业,2011-08-26,,江苏,泰州市,www.ppforging.com,江苏省泰州市姜堰区姜堰大道91号
300259,新天科技,新天科技股份有限公司,C 制造业,2011-08-31,,河南,郑州市,www.suntront.com,河南省郑州国家级高新技术产业开发区红松路252号
300260,新莱应材,昆山新莱洁净应用材料股份有限公司,C 制造业,2011-09-06,,江苏,苏州市,www.kinglai.com.cn,江苏省昆山市陆家镇陆丰西路22号
300261,雅本化学,雅本化学股份有限公司,C 制造业,2011-09-06,,江苏,苏州市,www.abachem.com,江苏省太仓市太仓港港口开发区石化区东方东路18号
300262,巴安水务,上海巴安水务股份有限公司,E 建筑业,2011-09-16,,上海,上海市,www.safbon.com,上海市青浦区练塘镇章练塘路666号
300263,隆华节能,洛阳隆华传热节能股份有限公司,C 制造业,2011-09-16,,河南,洛阳市,www.longhuachuanre.com,河南省洛阳市空港产业集聚区
300264,佳创视讯,深圳市佳创视讯技术股份有限公司,I 信息技术,2011-09-16,,广东,深圳市,www.avit.com.cn,广东省深圳市光明新区观光路招商局光明科技园A3栋C208单元
300265,通光线缆,江苏通光电子线缆股份有限公司,C 制造业,2011-09-16,,江苏,南通市,www.tgjt.cn,江苏省海门市海门镇渤海路169号
300266,兴源环境,兴源环境科技股份有限公司,N 公共环保,2011-09-27,,浙江,杭州市,www.xingyuan.com,浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号
300267,尔康制药,湖南尔康制药股份有限公司,C 制造业,2011-09-27,,湖南,长沙市,www.hnerkang.com,湖南省长沙市浏阳经济开发区康平路167号
300268,万福生科,万福生科（湖南）农业开发股份有限公司,C 制造业,2011-09-27,,湖南,常德市,www.wanfushk.com,湖南省常德市桃源县陬市镇桂花路1号
300269,联建光电,深圳市联建光电股份有限公司,L 商务服务,2011-10-12,,广东,深圳市,www.lcjh.com,广东省深圳市宝安区68区留仙三路安通达工业厂区四号厂房2楼
300270,中威电子,杭州中威电子股份有限公司,C 制造业,2011-10-12,,浙江,杭州市,www.joyware.com,浙江省杭州市西湖区文三路20号浙江建工大楼17层
300271,华宇软件,北京华宇软件股份有限公司,I 信息技术,2011-10-26,,北京,北京市,www.thunisoft.com,北京市海淀区中关村东路1号院清华科技园科技大厦C座25层
300272,开能环保,上海开能环保设备股份有限公司,C 制造业,2011-11-02,,上海,上海市,www.canature.com,上海浦东新区川大路518号
300273,和佳股份,珠海和佳医疗设备股份有限公司,C 制造业,2011-10-26,,广东,珠海市,www.hokai.com,广东省珠海市香洲区宝盛路5号
300274,阳光电源,阳光电源股份有限公司,C 制造业,2011-11-02,,安徽,合肥市,www.sungrowpower.com,安徽省合肥市高新区习友路1699号
300275,梅安森,重庆梅安森科技股份有限公司,I 信息技术,2011-11-02,,重庆,重庆市,www.cqmas.com,重庆市九龙坡区二郞创业路105号高科创业园C2区6层
300276,三丰智能,湖北三丰智能输送装备股份有限公司,C 制造业,2011-11-15,,湖北,黄石市,www.cnsanf.com,湖北省黄石市黄石经济技术开发区黄金山工业新区金山大道398号
300277,海联讯,深圳海联讯科技股份有限公司,I 信息技术,2011-11-23,,广东,深圳市,www.hirisun.com,广东省深圳市南山区深南大道市高新技术园R2厂房B区3a层
300278,华昌达,湖北华昌达智能装备股份有限公司,C 制造业,2011-12-16,,湖北,十堰市,www.hchd.com.cn,湖北省十堰市东益大道9号
300279,和晶科技,无锡和晶科技股份有限公司,C 制造业,2011-12-29,,江苏,无锡市,www.hodgen-china.com,江苏省无锡新区长江东路177号
300280,南通锻压,南通锻压设备股份有限公司,C 制造业,2011-12-29,,江苏,南通市,www.ntdy.com.cn,江苏省南通市如皋经济开发区锻压产业园区内
300281,金明精机,广东金明精机股份有限公司,C 制造业,2011-12-29,,广东,汕头市,www.jmjj.com,广东省汕头市濠江区纺织工业园
300282,汇冠股份,北京汇冠新技术股份有限公司,C 制造业,2011-12-29,,北京,北京市,www.irtouch.com,北京市海淀区西北旺东路10号院东区21号楼6层101-601
300283,温州宏丰,温州宏丰电工合金股份有限公司,C 制造业,2012-01-10,,浙江,温州市,www.wzhf.com,浙江省乐清市北白象镇大桥工业区塘下片区
300284,苏交科,苏交科集团股份有限公司,M 科研服务,2012-01-10,,江苏,南京市,www.jsti.com;www.jstri.com,江苏省南京市水西门大街223号
300285,国瓷材料,山东国瓷功能材料股份有限公司,C 制造业,2012-01-13,,山东,东营市,www.sinocera.com.cn,山东省东营市东营区辽河路24号
300286,安科瑞,安科瑞电气股份有限公司,C 制造业,2012-01-13,,上海,上海市,www.acrel.cn,上海市嘉定区育绿路253号
300287,飞利信,北京飞利信科技股份有限公司,I 信息技术,2012-02-01,,北京,北京市,www.philisense.com,北京市海淀区塔院志新村2号金唐酒店3层3078
300288,朗玛信息,贵阳朗玛信息技术股份有限公司,I 信息技术,2012-02-16,,贵州,贵阳市,www.longmaster.com.cn,贵州省贵阳市高新金阳科技产业园长岭南路31号(国家数字内容产业园二楼)
300289,利德曼,北京利德曼生化股份有限公司,C 制造业,2012-02-16,,北京,北京市,www.leadmanbio.com,北京市北京经济技术开发区兴海路5号
300290,荣科科技,荣科科技股份有限公司,I 信息技术,2012-02-16,,辽宁,沈阳市,www.bringspring.com,辽宁省沈阳经济技术开发区开发大路7甲3号
300291,华录百纳,北京华录百纳影视股份有限公司,R 文化传播,2012-02-09,,北京,北京市,www.hlbn-ent.com,北京市石景山区八大处高科技园区西井路3号3号楼5365房间
300292,吴通控股,吴通控股集团股份有限公司,C 制造业,2012-02-29,,江苏,苏州市,www.cnwutong.com,江苏省苏州市相城经济开发区漕湖街道太东路2596号
300293,蓝英装备,沈阳蓝英工业自动化装备股份有限公司,C 制造业,2012-03-08,,辽宁,沈阳市,www.chnsbs.net,辽宁省沈阳市浑南产业区东区飞云路3号
300294,博雅生物,江西博雅生物制药股份有限公司,C 制造业,2012-03-08,,江西,抚州市,www.china-boya.com,江西省抚州市高新技术产业园区惠泉路333号
300295,三六五网,江苏三六五网络股份有限公司,I 信息技术,2012-03-15,,江苏,南京市,www.house365.com,江苏省南京市六合区龙池街道新东路
300296,利亚德,利亚德光电股份有限公司,C 制造业,2012-03-15,,北京,北京市,www.leyard.com,北京市海淀区颐和园北正红旗西街9号
300297,蓝盾股份,蓝盾信息安全技术股份有限公司,I 信息技术,2012-03-15,,广东,广州市,www.bluedon.com,广东省广州市天河区天慧路16号
300298,三诺生物,三诺生物传感股份有限公司,C 制造业,2012-03-19,,湖南,长沙市,www.sinocare.com,湖南省长沙市高新技术产业开发区谷苑路265号
300299,富春股份,富春科技股份有限公司,I 信息技术,2012-03-19,,福建,福州市,www.forcom.com.cn,福建省福州市鼓楼区铜盘路软件大道89号C区25号楼
300300,汉鼎宇佑,汉鼎宇佑互联网股份有限公司,I 信息技术,2012-03-19,,浙江,杭州市,www.hakim.com.cn,浙江省杭州市延安路511号元通大厦1119室
300301,长方集团,深圳市长方集团股份有限公司,C 制造业,2012-03-21,,广东,深圳市,www.cfled.com,广东省深圳市坪山新区大工业区聚龙山3号路
300302,同有科技,北京同有飞骥科技股份有限公司,I 信息技术,2012-03-21,,北京,北京市,www.toyou.com.cn,北京市海淀区地锦路9号院2号楼-1至4层101
300303,聚飞光电,深圳市聚飞光电股份有限公司,C 制造业,2012-03-19,,广东,深圳市,www.jfled.com.cn,广东省深圳市龙岗区平湖街道鹅公岭社区鹅岭工业区4号
300304,云意电气,江苏云意电气股份有限公司,C 制造业,2012-03-21,,江苏,徐州市,www.yunyi-china.com,江苏省徐州市铜山经济开发区黄山路26号
300305,裕兴股份,江苏裕兴薄膜科技股份有限公司,C 制造业,2012-03-29,,江苏,常州市,www.czyuxing.com,江苏省常州市钟楼经济开发区童子河西路8-8号
300306,远方光电,杭州远方光电信息股份有限公司,C 制造业,2012-03-29,,浙江,杭州市,www.everfine.cn,浙江省杭州市滨江区滨康路669号1号楼
300307,慈星股份,宁波慈星股份有限公司,C 制造业,2012-03-29,,浙江,宁波市,www.ci-xing.com,浙江省慈溪市白沙路街道华东轻纺针织城三期6号楼
