A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
000001,平安银行,平安银行股份有限公司,J 金融业,1991-04-03,,广东,深圳市,www.bank.pingan.com,广东省深圳市罗湖区深南东路5047号
000002,万  科Ａ,万科企业股份有限公司,K 房地产,1991-01-29,,广东,深圳市,www.vanke.com,广东省深圳市盐田区大梅沙环梅路33号万科中心
000004,国农科技,深圳中国农大科技股份有限公司,C 制造业,1990-12-01,,广东,深圳市,www.sz000004.cn,广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室
000005,世纪星源,深圳世纪星源股份有限公司,N 公共环保,1990-12-10,,广东,深圳市,www.fountain.com.cn,广东省深圳市人民南路发展中心大厦13层
000006,深振业Ａ,深圳市振业(集团)股份有限公司,K 房地产,1992-04-27,,广东,深圳市,www.zhenye.com,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层
000007,全新好,深圳市全新好股份有限公司,H 住宿餐饮,1992-04-13,,广东,深圳市,,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼
000008,神州高铁,神州高铁技术股份有限公司,C 制造业,1992-05-07,,北京,北京市,www.shenzhou-gaotie.com,北京市海淀区高梁桥斜街59号院1号楼16层1606
000009,中国宝安,中国宝安集团股份有限公司,S 综合,1991-06-25,,广东,深圳市,www.chinabaoan.com,广东省深圳市笋岗东路1002号宝安广场A座28-29层
000010,美丽生态,深圳美丽生态股份有限公司,E 建筑业,1995-10-27,,广东,深圳市,,广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室
000011,深物业A,深圳市物业发展(集团)股份有限公司,K 房地产,1992-03-30,200011,广东,深圳市,www.szwuye.com.cn,广东省深圳市人民南路国贸大厦39、42层
000012,南  玻Ａ,中国南玻集团股份有限公司,C 制造业,1992-02-28,200012,广东,深圳市,www.csgholding.com,广东省深圳市蛇口工业六路一号南玻大厦
000014,沙河股份,沙河实业股份有限公司,K 房地产,1992-06-02,,广东,深圳市,www.shahe.cn,广东省深圳市南山区白石路2222号沙河世纪楼
000016,深康佳Ａ,康佳集团股份有限公司,C 制造业,1992-03-27,200016,广东,深圳市,www.konka.com,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层
000017,深中华A,深圳中华自行车(集团)股份有限公司,C 制造业,1992-03-31,200017,广东,深圳市,www.cbc.com.cn,广东省深圳市布心路三零零八号
000018,神州长城,神州长城股份有限公司,E 建筑业,1992-06-16,200018,广东,深圳市,www.udcgroup.com,广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号
000019,深深宝Ａ,深圳市深宝实业股份有限公司,C 制造业,1992-10-12,200019,广东,深圳市,www.sbsy.com.cn,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层
000020,深华发Ａ,深圳中恒华发股份有限公司,C 制造业,1992-04-28,200020,广东,深圳市,www.hwafa.com.cn,广东省深圳市福田区华发北路411幢
000021,深科技,深圳长城开发科技股份有限公司,C 制造业,1994-02-02,,广东,深圳市,www.kaifa.com.cn,广东省深圳市福田区彩田路7006号
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,G 运输仓储,1993-05-05,200022,广东,深圳市,www.szcwh.com,广东省深圳市赤湾
000023,深天地Ａ,深圳市天地(集团)股份有限公司,C 制造业,1993-04-29,,广东,深圳市,www.000023.cn,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼
000025,特  力Ａ,深圳市特力(集团)股份有限公司,F 批发零售,1993-06-21,200025,广东,深圳市,www.tellus.cn,广东省深圳市深南中路中核大厦
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,F 批发零售,1993-06-03,200026,广东,深圳市,www.fiytagroup.com,广东省深圳市南山区高新南一道飞亚达科技大厦
000027,深圳能源,深圳能源集团股份有限公司,D 水电煤气,1993-09-03,,广东,深圳市,www.sec.com.cn,广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层
000028,国药一致,国药集团一致药业股份有限公司,F 批发零售,1993-08-09,200028,广东,深圳市,www.szaccord.com.cn,广东省深圳市福田区八卦四路15号一致药业大楼
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,K 房地产,1993-09-15,200029,广东,深圳市,www.sfjt.com.cn,广东省深圳市人民南路3005号深房广场47楼
000030,富奥股份,富奥汽车零部件股份有限公司,C 制造业,1993-09-29,200030,吉林,长春市,,吉林省长春市汽车经济技术开发区东风南街777号
000031,中粮地产,中粮地产（集团）股份有限公司,K 房地产,1993-10-08,,广东,深圳市,www.cofco-property.cn,广东省深圳市宝安区新城二区湖滨路
000032,深桑达Ａ,深圳市桑达实业股份有限公司,F 批发零售,1993-10-28,,广东,深圳市,www.sedind.com,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼
000033,新都退,深圳新都酒店股份有限公司,H 住宿餐饮,1994-01-03,,广东,深圳市,www.szcphotel.com,广东省深圳市春风路一号
000034,神州数码,神州数码集团股份有限公司,F 批发零售,1994-05-09,,广东,深圳市,www.digitalchina.com,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1
000035,中国天楹,中国天楹股份有限公司,N 公共环保,1994-04-08,,江苏,南通市,www.chinakejian.net,江苏省海安县城黄海大道（西）268号
000036,华联控股,华联控股股份有限公司,K 房地产,1994-06-17,,广东,深圳市,www.udcgroup.com,广东省深圳市深南中路2008号华联大厦11层(1103-1109室)
000037,深南电A,深圳南山热电股份有限公司,D 水电煤气,1994-07-01,200037,广东,深圳市,www.nsrd.com.cn,广东省深圳市南山区月亮湾大道2097号
000038,深大通,深圳大通实业股份有限公司,L 商务服务,1994-08-08,,广东,深圳市,www.chinadatong.com,广东省深圳市华侨城东部工业区
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,C 制造业,1994-04-08,,广东,深圳市,www.cimc.com,广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼
000040,东旭蓝天,东旭蓝天新能源股份有限公司,K 房地产,1994-08-08,,广东,深圳市,www.bahjdc.com,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼
000042,中洲控股,深圳市中洲投资控股股份有限公司,K 房地产,1994-09-21,,广东,深圳市,www.zztzkg.com,广东省深圳市福田区百花五路长源楼
000043,中航地产,中航地产股份有限公司,K 房地产,1994-09-28,,广东,深圳市,www.carec.com.cn,广东省深圳市福田区振华路163号飞亚达大厦六楼
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,C 制造业,1994-08-15,200045,广东,深圳市,www.chinasthc.com,广东省深圳市福田区华强北路3号深纺大厦6楼
000046,泛海控股,泛海控股股份有限公司,K 房地产,1994-09-12,,北京,北京市,www.fhjs.cn,北京市东城区建国门内大街28号民生金融中心C座22层
000048,康达尔,深圳市康达尔(集团)股份有限公司,C 制造业,1994-11-01,,广东,深圳市,www.kondarl.com,广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼
000049,德赛电池,深圳市德赛电池科技股份有限公司,C 制造业,1995-03-20,,广东,深圳市,www.desaybattery.com,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼
000050,深天马Ａ,天马微电子股份有限公司,C 制造业,1995-03-15,,广东,深圳市,www.tianma.cn,广东省深圳市深南中路中航苑航都大厦22层南
000053,深基地Ｂ,深圳赤湾石油基地股份有限公司,G 运输仓储,,200053,广东,深圳市,www.chiwanbase.com,广东省深圳市南山区赤湾基地楼
000054,建摩B,重庆建设摩托车股份有限公司,C 制造业,,200054,重庆,重庆市,www.jianshe.com.cn,重庆市巴南区花溪工业园建设大道1号
000055,方大集团,方大集团股份有限公司,C 制造业,1996-04-15,200055,广东,深圳市,www.fangda.com,广东省深圳市高新区科技南十二路方大大厦
000056,皇庭国际,深圳市皇庭国际企业股份有限公司,K 房地产,1996-07-08,200056,广东,深圳市,www.china-ia.com,广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元
000058,深 赛 格,深圳赛格股份有限公司,L 商务服务,1996-12-26,200058,广东,深圳市,www.segcl.com.cn,广东省深圳市福田区华强北路群星广场A座三十一楼
000059,华锦股份,北方华锦化学工业股份有限公司,C 制造业,1997-01-30,,辽宁,盘锦市,www.hjch.com,辽宁省盘锦市双台子区红旗大街
000060,中金岭南,深圳市中金岭南有色金属股份有限公司,C 制造业,1997-01-23,,广东,深圳市,www.nonfemet.com,广东省深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼
000061,农 产 品,深圳市农产品股份有限公司,L 商务服务,1997-01-10,,广东,深圳市,www.szap.com,广东省深圳市罗湖区布吉路1019号农产品批发市场第一层
000062,深圳华强,深圳华强实业股份有限公司,L 商务服务,1997-01-30,,广东,深圳市,www.szhq000062.com,广东省深圳市福田区华强北路华强广场A座5楼
000063,中兴通讯,中兴通讯股份有限公司,C 制造业,1997-11-18,,广东,深圳市,www.zte.com.cn,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦
000065,北方国际,北方国际合作股份有限公司,E 建筑业,1998-06-05,,北京,北京市,www.norinco-intl.com,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302)
000066,中国长城,中国长城科技集团股份有限公司,C 制造业,1997-06-26,,广东,深圳市,www.greatwall.cn,广东省深圳南山区科技工业园长城计算机大厦
000068,华控赛格,深圳华控赛格股份有限公司,C 制造业,1997-06-11,,广东,深圳市,www.ssg.com.cn,广东省深圳市大工业区兰竹大道以北CH3主厂房
000069,华侨城Ａ,深圳华侨城股份有限公司,N 公共环保,1997-09-10,,广东,深圳市,www.octholding.com,广东省深圳市南山区华侨城
000070,特发信息,深圳市特发信息股份有限公司,C 制造业,2000-05-11,,广东,深圳市,www.sdgi.com.cn,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼
000078,海王生物,深圳市海王生物工程股份有限公司,F 批发零售,1998-12-18,,广东,深圳市,www.neptunus.com,广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼
000088,盐 田 港,深圳市盐田港股份有限公司,G 运输仓储,1997-07-28,,广东,深圳市,www.yantian-port.com,广东省深圳市盐田区盐田港海港大厦17-20层
000089,深圳机场,深圳市机场股份有限公司,G 运输仓储,1998-04-20,,广东,深圳市,www.szairport.com,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋
000090,天健集团,深圳市天健(集团)股份有限公司,E 建筑业,1999-07-21,,广东,深圳市,www.tagen.cn,广东省深圳市福田区滨河大道5020号证券大厦21楼
000096,广聚能源,深圳市广聚能源股份有限公司,F 批发零售,2000-07-24,,广东,深圳市,www.gj000096.com,广东省深圳市南山区海德三道天利中央商务广场22楼
000099,中信海直,中信海洋直升机股份有限公司,G 运输仓储,2000-07-31,,广东,深圳市,www.cohc.citic,广东省深圳市罗湖区解放西路188号
000100,TCL 集团,TCL集团股份有限公司,C 制造业,2004-01-30,,广东,惠州市,www.tcl.com,广东省惠州市仲恺高新技术开发区十九号小区
000150,宜华健康,宜华健康医疗股份有限公司,Q 卫生,2000-08-07,,广东,汕头市,www.yihuarealestate.com,广东省汕头市澄海区文冠路北侧
000151,中成股份,中成进出口股份有限公司,F 批发零售,2000-09-06,,北京,北京市,www.complant-ltd.com,北京市丰台区南四环西路188号二区8号楼
000152,山  航Ｂ,山东航空股份有限公司,G 运输仓储,,200152,山东,济南市,www.shandongair.com.cn,山东省济南市遥墙国际机场
000153,丰原药业,安徽丰原药业股份有限公司,C 制造业,2000-09-20,,安徽,芜湖市,www.bbcayy.com,安徽省无为县北门外大街108号
000155,*ST川化,川化股份有限公司,C 制造业,2000-09-26,,四川,成都市,www.scwltd.com,四川省成都市青白江区大弯镇团结路311号
000156,华数传媒,华数传媒控股股份有限公司,R 文化传播,2000-09-06,,浙江,杭州市,,浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室
000157,中联重科,中联重科股份有限公司,C 制造业,2000-10-12,,湖南,长沙市,www.zoomlion.com,湖南省长沙市银盆南路361号
000158,常山股份,石家庄常山纺织股份有限公司,C 制造业,2000-07-24,,河北,石家庄市,www.changshantex.com,河北省石家庄市和平东路183号
000159,国际实业,新疆国际实业股份有限公司,F 批发零售,2000-09-26,,新疆,乌鲁木齐市,www.xjgjsy.com,新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际9楼
000160,东沣B,东沣科技集团股份有限公司,K 房地产,,200160,河北,承德市,,河北省承德市承德县下板城镇
000166,申万宏源,申万宏源集团股份有限公司,J 金融业,2015-01-26,,新疆,乌鲁木齐市,,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室
000168,舜喆B,广东舜喆（集团）股份有限公司,K 房地产,,200168,广东,揭阳市,www.rieys.com,广东省普宁市军埠镇美新工业园
000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,D 水电煤气,2000-05-29,,江苏,苏州市,www.cesm.com.cn,江苏省吴江市盛泽镇市场路丝绸股份大厦
000333,美的集团,美的集团股份有限公司,C 制造业,2013-09-18,,广东,佛山市,www.midea.com.cn,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼
000338,潍柴动力,潍柴动力股份有限公司,C 制造业,2007-04-30,,山东,潍坊市,www.weichaipower.com,山东省潍坊市高新技术产业开发区福寿东街197号甲
000400,许继电气,许继电气股份有限公司,C 制造业,1997-04-18,,河南,许昌市,www.xjec.com,河南省许昌市许继大道1298号
000401,冀东水泥,唐山冀东水泥股份有限公司,C 制造业,1996-06-14,,河北,唐山市,www.jdsn.com.cn,河北省唐山市丰润区林荫路
000402,金 融 街,金融街控股股份有限公司,K 房地产,1996-06-26,,北京,北京市,www.jrjkg.com,北京市西城区金城坊街7号
000403,ST生化,振兴生化股份有限公司,C 制造业,1996-06-28,,山西,太原市,www.999yichun.cn,山西省太原市长治路227号高新国际大厦16层
000404,华意压缩,华意压缩机股份有限公司,C 制造业,1996-06-19,,江西,景德镇市,www.hua-yi.cn,江西省景德镇市高新区长虹大道1号
000407,胜利股份,山东胜利股份有限公司,D 水电煤气,1996-07-03,,山东,济南市,www.vicome.com,山东省济南市高新区港兴三路北段济南药谷1号楼B座32层
000408,金谷源,金谷源控股股份有限公司,C 制造业,1996-06-28,,青海,格尔木市,,青海省格尔木市昆仑南路15-02号
000409,山东地矿,山东地矿股份有限公司,S 综合,1996-06-27,,山东,济南市,,山东省济南市高新区新宇路750号5号楼
000410,*ST沈机,沈阳机床股份有限公司,C 制造业,1996-07-18,,辽宁,沈阳市,www.smtcl.com,辽宁省沈阳经济技术开发区开发大路17甲1号
000411,英特集团,浙江英特集团股份有限公司,F 批发零售,1996-07-16,,浙江,杭州市,www.intmedic.com,浙江省杭州市下城区东新路江南巷2号3幢
000413,东旭光电,东旭光电科技股份有限公司,C 制造业,1996-09-25,200413,河北,石家庄市,,河北省石家庄市高新技术产业开发区黄河大道9号
000415,渤海金控,渤海金控投资股份有限公司,L 商务服务,1996-07-16,,新疆,乌鲁木齐市,www.bohaileasing.com,新疆维吾尔自治区乌鲁木齐市沙依巴克区黄河路93号
000416,民生控股,民生控股股份有限公司,J 金融业,1996-07-19,,山东,青岛市,,山东省青岛市崂山区株州路151号
000417,合肥百货,合肥百货大楼集团股份有限公司,F 批发零售,1996-08-12,,安徽,合肥市,www.hfbh.com.cn,安徽省合肥市长江中路150号
000418,小天鹅Ａ,无锡小天鹅股份有限公司,C 制造业,1997-03-28,200418,江苏,无锡市,www.littleswan.com,江苏省无锡市国家高新技术产业开发区长江南路18号
000419,通程控股,长沙通程控股股份有限公司,F 批发零售,1996-08-16,,湖南,长沙市,www.e-tongcheng.com,湖南省长沙市雨花区劳动西路589号
000420,吉林化纤,吉林化纤股份有限公司,C 制造业,1996-08-02,,吉林,吉林市,www.jlcfc.com,吉林省吉林市昌邑区九站街516-1号
000421,南京公用,南京公用发展股份有限公司,D 水电煤气,1996-08-06,,江苏,南京市,www.zhong-bei.com,江苏省南京市建邺区应天大街927号
000422,湖北宜化,湖北宜化化工股份有限公司,C 制造业,1996-08-15,,湖北,宜昌市,www.hbyh.cn,湖北省宜昌市猇亭大道399号
000423,东阿阿胶,东阿阿胶股份有限公司,C 制造业,1996-07-29,,山东,聊城市,www.dongeejiao.com,山东省东阿县阿胶街78号
000425,徐工机械,徐工集团工程机械股份有限公司,C 制造业,1996-08-28,,江苏,徐州市,www.xcmg.com,江苏省徐州经济技术开发区驮蓝山路26号
000426,兴业矿业,内蒙古兴业矿业股份有限公司,B 采矿业,1996-08-28,,内蒙古,赤峰市,,内蒙古自治区赤峰市新城区玉龙大街路北、天义路西兴业集团办公楼
000428,华天酒店,华天酒店集团股份有限公司,H 住宿餐饮,1996-08-08,,湖南,长沙市,www.huatian-hotel.com,湖南省长沙市解放东路300号
000429,粤高速Ａ,广东省高速公路发展股份有限公司,G 运输仓储,1998-02-20,200429,广东,广州市,www.gpedcl.com,广东省广州市白云路85号
000430,张家界,张家界旅游集团股份有限公司,N 公共环保,1996-08-29,,湖南,张家界市,www.zjjgf.com,湖南省张家界市南庄坪1号花园
000468,*ST宁通B,南京普天通信股份有限公司,C 制造业,,200468,江苏,南京市,www.postel.com.cn,江苏省南京市江宁经济技术开发区秦淮路58号
000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,C 制造业,2000-11-20,200488,山东,潍坊市,www.chenmingpaper.com,山东省寿光市圣城街595号
000498,山东路桥,山东高速路桥集团股份有限公司,E 建筑业,1997-06-09,,山东,济南市,,山东省济南市经五路330号
000501,鄂武商Ａ,武汉武商集团股份有限公司,F 批发零售,1992-11-20,,湖北,武汉市,www.wushang.com.cn,湖北省武汉市江汉区解放大道690号
000502,绿景控股,绿景控股股份有限公司,K 房地产,1992-11-23,,广东,广州市,www.000502.cn,广东省广州市天河区林和中路8号海航大厦35楼05单元
000503,海虹控股,海虹企业(控股)股份有限公司,I 信息技术,1992-11-30,,海南,海口市,www.searainbow.com,海南省海口市文华路18号文华大酒店七层
000504,南华生物,南华生物医药股份有限公司,R 文化传播,1992-12-08,,湖南,长沙市,www.nhbiogroup.com,湖南省长沙市天心区城南西路3号财信大厦13楼
000505,珠江控股,海南珠江控股股份有限公司,K 房地产,1992-12-21,200505,海南,海口市,,海南省海口市珠江广场帝豪大厦29层
000506,中润资源,中润资源投资股份有限公司,B 采矿业,1993-03-12,,山东,济南市,,山东省济南市经十路13777号中润世纪广场17栋
000507,珠海港,珠海港股份有限公司,G 运输仓储,1993-03-26,,广东,珠海市,www.0507.com.cn,广东省珠海市高栏港经济区榕树湾8号2001-2号办公
000509,华塑控股,华塑控股股份有限公司,C 制造业,1993-05-07,,四川,南充市,,四川省南充市涪江路117号
000510,金路集团,四川金路集团股份有限公司,C 制造业,1993-05-07,,四川,德阳市,www.jinlugroup.cn,四川省德阳市泰山南路二段733号银鑫·五洲广场一期21栋22-23层
000511,*ST烯碳,银基烯碳新材料股份有限公司,C 制造业,1993-05-18,,辽宁,沈阳市,www.enecarbon-materials.com,辽宁省沈阳市沈河区青年大街109号
000512,闽灿坤Ｂ,厦门灿坤实业股份有限公司,C 制造业,,200512,福建,厦门市,www.eupa.cn,福建省厦门市湖里工业区兴隆路88号
000513,丽珠集团,丽珠医药集团股份有限公司,C 制造业,1993-10-28,,广东,珠海市,www.livzon.com.cn,广东省珠海市金湾区创业北路38号总部大楼
000514,渝 开 发,重庆渝开发股份有限公司,K 房地产,1993-07-12,,重庆,重庆市,www.cqukf.com,重庆市渝中区重庆村55号2单元39层
000516,国际医学,西安国际医学投资股份有限公司,F 批发零售,1993-08-09,,陕西,西安市,www.000516.cn,陕西省西安市高新区团结南路16号保障楼5层
000517,荣安地产,荣安地产股份有限公司,K 房地产,1993-08-06,,浙江,宁波市,www.rongan.com.cn,浙江省宁波市海曙区灵桥路513号(14-12)
000518,四环生物,江苏四环生物股份有限公司,C 制造业,1993-09-08,,江苏,无锡市,www.shsw.com.cn,江苏省江阴市滨江开发区定山路十号
000519,中兵红箭,中兵红箭股份有限公司,C 制造业,1993-10-08,,湖南,湘潭市,www.yhdle.com,湖南省湘潭国家高新技术产业开发区德国工业园莱茵路1号
000520,长航凤凰,长航凤凰股份有限公司,G 运输仓储,1993-10-25,,湖北,武汉市,www.csc-hy.com.cn,湖北省武汉市民权路39号汇江大厦
000521,美菱电器,合肥美菱股份有限公司,C 制造业,1993-10-18,200521,安徽,合肥市,www.meiling.com,安徽省合肥市经济技术开发区莲花路2163号
000523,广州浪奇,广州市浪奇实业股份有限公司,C 制造业,1993-11-08,,广东,广州市,www.lonkey.com.cn,广东省广州市天河区黄埔大道东128号
000524,岭南控股,广州岭南集团控股股份有限公司,H 住宿餐饮,1993-11-18,,广东,广州市,www.hoteldongfang.com,广东省广州市流花路120号
000525,红 太 阳,南京红太阳股份有限公司,C 制造业,1993-10-28,,江苏,南京市,,江苏省南京市高淳县桠溪镇东风路8号
000526,*ST紫学,厦门紫光学大股份有限公司,P 教育,1993-11-01,,福建,厦门市,,福建省厦门市湖里区寨上长乐路1号
000528,柳    工,广西柳工机械股份有限公司,C 制造业,1993-11-18,,广西,柳州市,www.liugong.com,广西壮族自治区柳州市柳太路1号
000529,广弘控股,广东广弘控股股份有限公司,C 制造业,1993-11-18,,广东,广州市,www.ghkg000529.com,广东省广州市天河区广州大道北520号
000530,大冷股份,大连冷冻机股份有限公司,C 制造业,1993-12-08,200530,辽宁,大连市,www.daleng.cn,辽宁省大连市经济技术开发区辽河东路106号
000531,穗恒运Ａ,广州恒运企业集团股份有限公司,D 水电煤气,1994-01-06,,广东,广州市,www.hengyun.com.cn,广东省广州市萝岗区西基工业区西基路
000532,华金资本,珠海华金资本股份有限公司,S 综合,1994-01-03,,广东,珠海市,www.huajinct.com,广东省珠海市高新区前湾二路2号总部基地一期B楼第五层
000533,万 家 乐,广东万家乐股份有限公司,C 制造业,1994-01-03,,广东,佛山市,www.macro.com.cn,广东省佛山市顺德区大良街道顺峰山工业区
000534,万泽股份,万泽实业股份有限公司,K 房地产,1994-01-10,,广东,汕头市,,广东省汕头市珠池路23号光明大厦B幢8楼
000536,华映科技,华映科技（集团）股份有限公司,C 制造业,1993-11-26,,福建,福州市,www.cpttg.com,福建省福州市马尾区儒江西路6号1#楼第三、四层
000537,广宇发展,天津广宇发展股份有限公司,K 房地产,1993-12-10,,天津,天津市,www.gyfz000537.com,天津经济技术开发区第三大街16号泰达中心
000538,云南白药,云南白药集团股份有限公司,C 制造业,1993-12-15,,云南,昆明市,www.yunnanbaiyao.com.cn,云南省昆明市呈贡区云南白药街3686号
000539,粤电力Ａ,广东电力发展股份有限公司,D 水电煤气,1993-11-26,200539,广东,广州市,www.ged.com.cn,广东省广州市天河东路2号粤电广场南塔33-36楼
000540,中天金融,中天金融集团股份有限公司,K 房地产,1994-02-02,,贵州,贵阳市,www.ztcn.cn,贵州省贵阳市观山湖区中天路3号
000541,佛山照明,佛山电器照明股份有限公司,C 制造业,1993-11-23,200541,广东,佛山市,www.Chinafsl.Com,广东省佛山市禅城区汾江北路64号
000543,皖能电力,安徽省皖能股份有限公司,D 水电煤气,1993-12-20,,安徽,合肥市,www.wenergy.cn,安徽省合肥市马鞍山路76号
000544,中原环保,中原环保股份有限公司,D 水电煤气,1993-12-08,,河南,郑州市,www.cpepgc.com,河南省郑州市郑东新区才高街6号东方鼎盛中心A座10层
000545,金浦钛业,吉林金浦钛业股份有限公司,C 制造业,1993-12-15,,吉林,吉林市,,吉林省吉林市吉林经济技术开发区吉孤公路480号
000546,金圆股份,金圆水泥股份有限公司,C 制造业,1993-12-15,,吉林,长春市,,吉林省长春市净月开发区中信城枫丹白露一期3栋906室
000547,航天发展,航天工业发展股份有限公司,C 制造业,1993-11-30,,福建,福州市,http://www.szxrjt.com,福建省福州市台江区五一南路67号
000548,湖南投资,湖南投资集团股份有限公司,G 运输仓储,1993-12-20,,湖南,长沙市,www.hntz.com.cn,湖南省长沙市天心区芙蓉中路508号之三君逸康年大酒店十二楼
000550,江铃汽车,江铃汽车股份有限公司,C 制造业,1993-12-01,200550,江西,南昌市,www.jmc.com.cn,江西省南昌市迎宾北大道509号
000551,创元科技,创元科技股份有限公司,S 综合,1994-01-06,,江苏,苏州市,www.000551.cn,江苏省苏州市高新区鹿山路35号
000552,靖远煤电,甘肃靖远煤电股份有限公司,B 采矿业,1994-01-06,,甘肃,白银市,,甘肃省白银市平川区大桥路1号
000553,沙隆达Ａ,湖北沙隆达股份有限公司,C 制造业,1993-12-03,200553,湖北,荆州市,www.sanonda.cn,湖北省荆州市北京东路93号
000554,泰山石油,中国石化山东泰山石油股份有限公司,F 批发零售,1993-12-15,,山东,泰安市,,山东省泰安市东岳大街104号
000555,神州信息,神州数码信息服务股份有限公司,I 信息技术,1994-04-08,,广东,深圳市,www.dcits.com,广东省深圳市南山区科发路8号金融服务技术创新基地2栋11B1单元
000557,西部创业,宁夏西部创业实业股份有限公司,G 运输仓储,1994-06-17,,宁夏,银川市,,宁夏回族自治区银川市北京中路168号C座一楼
000558,莱茵体育,莱茵达体育发展股份有限公司,K 房地产,1994-05-09,,浙江,杭州市,www.lander.com.cn,浙江省杭州市文三路535号莱茵达大厦
000559,万向钱潮,万向钱潮股份有限公司,C 制造业,1994-01-10,,浙江,杭州市,www.wxqc.com.cn,浙江省杭州市萧山区万向路
000560,昆百大Ａ,昆明百货大楼(集团)股份有限公司,F 批发零售,1994-02-02,,云南,昆明市,000560.kunbuy.com,云南省昆明市东风西路1号
000561,烽火电子,陕西烽火电子股份有限公司,C 制造业,1994-05-09,,陕西,宝鸡市,www.fenghuo.cn,陕西省宝鸡市清姜路72号
000563,陕国投Ａ,陕西省国际信托股份有限公司,J 金融业,1994-01-10,,陕西,西安市,www.siti.com.cn,陕西省西安市高新区科技路50号金桥国际广场C座
000564,供销大集,供销大集集团股份有限公司,F 批发零售,1994-01-10,,陕西,西安市,www.cnminsheng.com,陕西省西安市解放路103号
000565,渝三峡Ａ,重庆三峡油漆股份有限公司,C 制造业,1994-04-08,,重庆,重庆市,www.sanxia.com,重庆市江津区德感工业园区
000566,海南海药,海南海药股份有限公司,C 制造业,1994-05-25,,海南,海口市,www.haiyao.com.cn,海南省海口市秀英区南海大道192号
000567,海德股份,海南海德实业股份有限公司,K 房地产,1994-05-25,,海南,海口市,www.000567.com,海南省海口市海德路5号
000568,泸州老窖,泸州老窖股份有限公司,C 制造业,1994-05-09,,四川,泸州市,www.lzlj.com.cn,四川省泸州市国窖广场
000570,苏常柴Ａ,常柴股份有限公司,C 制造业,1994-07-01,200570,江苏,常州市,www.changchai.com.cn,江苏省常州市怀德中路123号
000571,新大洲Ａ,新大洲控股股份有限公司,B 采矿业,1994-05-25,,海南,海口市,www.sundiro.com,海南省海口市桂林洋经济开发区
000572,海马汽车,海马汽车集团股份有限公司,C 制造业,1994-08-08,,海南,海口市,www.000572.com,海南省海口市金盘工业区金盘路12-8号
000573,粤宏远Ａ,东莞宏远工业区股份有限公司,K 房地产,1994-08-15,,广东,东莞市,www.winnerway.com.cn,广东省东莞市南城区宏远工业区
000576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,C 制造业,1994-09-07,,广东,江门市,www.gdganhua.com,广东省江门市甘化路56号
000581,威孚高科,无锡威孚高科技集团股份有限公司,C 制造业,1998-09-24,200581,江苏,无锡市,www.weifu.com.cn,江苏省无锡国家高新技术产业开发区华山路5号
000582,北部湾港,北部湾港股份有限公司,G 运输仓储,1995-11-02,,广西,北海市,www.bbwport.cn,广西壮族自治区北海市海角路145号
000584,友利控股,江苏友利投资控股股份有限公司,C 制造业,1995-11-28,,江苏,无锡市,www.uoli.com.cn,江苏省江阴市临港街道双良路15号
000585,东北电气,东北电气发展股份有限公司,C 制造业,1995-12-13,,江苏,常州市,www.nee.com.cn;www.nee.hk,江苏省常州市新北区太湖东路9号4幢23层
